Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.267477618334827,-0.656827103060633,0.414562352931217,0,0,0,19.443300778032,0.446819644512665,7.04283683372709E-07,2.18700527469743E-08,0.128806910514398,9.53698428759998E-07,0.537326846655045,0,0,0,0,0,0,package://agvurdf105/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://agvurdf105/meshes/base.STL,,Votren-1;votruocsau-2;vo2ben-1;votruocsau-1;vo2ben-2;voduoi-1;tam1-2;tam3-2;tam2-2;tam3-4;tam1-4;tam2-4;tam3-3;tam1-3;tam2-3;tam1-1;tam3-1;tam2-1;hoptrong-1;de1-2;laida-1;de1-4;de1-3;de1-1;de2-1;kepbanhchinh-4;kepbanhchinh-1;kepbanhchinh-2;kepbanhchinh-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bchinh1,0.0797674207486164,-5.73364548395183E-07,3.4592532938138E-07,0,0,0,0.597832815380611,0.00104674915101719,-3.25283307471418E-09,2.75150350511716E-09,0.000680797544035403,8.27213187136249E-09,0.000680816136383611,0,0,0,0,0,0,package://agvurdf105/meshes/bchinh1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bchinh1.STL,,banhchinh-1,Origin_banh1,Axis_banh1,banh1,revolute,0.39861,-0.5942,0.38553,2.4972,0,0,base,1,0,0,20,1,-4,4,,,2,2,,,,
bchinh2,-0.0332325423207638,-5.51442441709682E-07,3.88780041882253E-07,0,0,0,0.597832236823257,0.00104674919669424,-3.27522462262069E-09,2.7602611676384E-09,0.000680797594373258,8.29406440059497E-09,0.000680816144487321,0,0,0,0,0,0,package://agvurdf105/meshes/bchinh2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bchinh2.STL,,banhchinh-2,Origin_banh2,Axis_banh2,banh2,revolute,0.025614,-0.5942,0.38553,-3.1224,0,3.1416,base,1,0,0,20,1,-4,4,,,2,2,,,,
bphu1,0,-0.00173512867251724,0,0,0,0,0.048165597678071,2.23785467678531E-05,-4.1282822947913E-23,-3.3292548367986E-20,5.64406148404847E-05,1.01819135798511E-23,3.61208137584202E-05,0,0,0,0,0,0,package://agvurdf105/meshes/bphu1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bphu1.STL,,banhphu1-5;banhphu2-5,Origin_banhp1,,banhp1,fixed,0.47611,-0.3092,0.41953,1.5708,0,1.5708,base,0,0,0,,,,,,,,,,,,
linkbp1,-0.00617677641709502,-0.0358398173875589,0.00518685509486075,0,0,0,0.114257387372318,6.34571166352206E-05,-3.62439447488159E-06,-2.34583618434929E-07,8.05860290746564E-05,-5.080649693722E-07,5.9910521336905E-05,0,0,0,0,0,0,package://agvurdf105/meshes/linkbp1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/linkbp1.STL,,banhphu3-5;banhphu4-5,Origin_jbp1,Axis_jbp1,jbp1,continuous,0.01,0,0,3.14159265358979,-0.547967558025908,3.14159265358979,bphu1,0,1,0,,,,,,,,,,,,
bp1,0.00548428858717928,9.97438591721078E-08,-7.52742982057519E-07,0,0,0,0.0726271521733352,3.58320530073967E-05,1.1750871191831E-10,-9.14672268149594E-11,2.23018430138028E-05,-2.03994864241253E-10,2.23019031302214E-05,0,0,0,0,0,0,package://agvurdf105/meshes/bp1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bp1.STL,,banhphu5.1-5,Origin_bp1,Axis_bp1,bp1,revolute,0.031036,-0.06543,0,0.29396,-1.5708,-0.29568,linkbp1,1,0,0,0,0,-4,4,,,,,,,,
bphu2,1.11022302462516E-16,-0.00173512867251724,0,0,0,0,0.048165597678071,2.23785467678531E-05,-7.91930310749027E-23,-2.27241722811059E-19,5.64406148404846E-05,2.28409602871977E-23,3.61208137584202E-05,0,0,0,0,0,0,package://agvurdf105/meshes/bphu2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bphu2.STL,,banhphu1-1;banhphu2-1,Origin_banhp2,Axis_banhp2,banhp2,fixed,0.476113744053953,-0.879202901304281,0.419533078366042,1.5707963267949,0,1.5707963267949,base,0,0,0,,,,,,,,,,,,
linkbp2,-0.0173963547118563,-0.0358398173875772,-0.00965583082141919,0,0,0,0.114257387372318,6.34571166352199E-05,-3.62439447488278E-06,-2.34583618434789E-07,8.05860290746565E-05,-5.08064969372119E-07,5.99105213369047E-05,0,0,0,0,0,0,package://agvurdf105/meshes/linkbp2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/linkbp2.STL,,banhphu3-1;banhphu4-1,Origin_jbp2,Axis_jbp2,jbp2,continuous,0.01,0,0,0,1.29909292552263,0,bphu2,0,1,0,,,,,,,,,,,,
bp2,-0.0093583982201465,9.55880134489995E-08,-7.51185361358431E-07,0,0,0,0.0726271557950019,3.58320539848372E-05,1.19126244069086E-10,-9.08342456740752E-11,2.23018408664583E-05,-2.12021323796501E-10,2.23019063481509E-05,0,0,0,0,0,0,package://agvurdf105/meshes/bp2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bp2.STL,,banhphu5.1-1,Origin_bp2,Axis_bp2,bp2,revolute,0.0198162726250184,-0.0654300000000542,0,0.133952495949054,-1.5707963267949,0,linkbp2,1,0,0,0,0,-4,4,,,,,,,,
bphu3,0,-0.00173512867251724,0,0,0,0,0.048165597678071,2.23785467678531E-05,4.89452027298181E-23,-4.58690116376147E-20,5.64406148404847E-05,6.50103152319964E-24,3.61208137584202E-05,0,0,0,0,0,0,package://agvurdf105/meshes/bphu3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agvurdf105/meshes/bphu3.STL,,banhphu1-3;banhphu2-3,Origin_banhp3,Axis_banhp3,banhp3,fixed,0.0611137440539526,-0.309202901304281,0.419533078366042,1.5707963267949,0,1.5707963267949,base,0,0,0,,,,,,,,,,,,
